Frame,Maximum diameter of the drop (d_e),Diameter at the lowest end (d_s),Surface_Tension
0,0.0012934547046616176,0.0009769769030334844,11.504302019535292
1,0.0013322011097019401,0.0006361618846426122,38.22470123124153
2,0.0012912603820805202,0.0005976545650504605,38.81505034216126
3,0.0013079879035903998,0.0005913270115584211,42.228814857333646
4,0.0013056208597500255,0.0005920893820897512,41.75260278104358
5,0.0012954629310468055,0.0006034093661483698,38.456821236478525
6,0.0013060156649782057,0.0005913270115584211,41.94366826737189
7,0.0013139501810787266,0.0005617815608713211,48.96721500329473
11,0.0013104982031162799,0.0006245069599104228,37.18013045996014
12,0.0012995111680998395,0.0009670061315297037,12.05209840876048
15,0.0013027272481093114,0.0006079002208211392,38.71318879371157
16,0.0013079879035903998,0.0005904545256364322,42.384360610525114
17,0.0013173646329195285,0.0009773959300840313,12.477095593802373
18,0.0013063610216755837,0.0006361618846426122,35.00657059123991
19,0.0013060156649782057,0.0009763404266118918,12.034006992824283
20,0.0013063610216755837,0.0006018052622042269,40.19644179654145
21,0.0012960100120671233,0.000601698169888724,38.8032190417761
22,0.0013056208597500255,0.0006034093661483698,39.82940937643682
23,0.0013282770920185038,0.0006382856326335968,37.41001113761105
24,0.0013282770920185038,0.0006134712953636426,41.29216791760392
25,0.0012922848629649414,0.0005276527137619564,53.12033319341873
26,0.0012928211718104474,0.000608832504232895,37.26638290784496
27,0.0013186847603719346,0.0006471093525218352,34.995144526920214
28,0.00132395210710853,0.0006043697848824882,42.23493758403229
29,0.0012946667641552565,0.0009779891501791602,11.523033876357292
30,0.0013177070151790247,0.0006043697848824882,41.34776258162659
31,0.00128467304648168,0.0006147305603809274,35.36411884056094
32,0.0012944178615740551,0.0006156733188871972,36.44528376282811
33,0.0013087267268141536,0.0006026613156415195,40.381133109894165
34,0.0013063610216755837,0.0009764064290068708,12.046273906668288
35,0.0013186847603719346,0.0005904545256364322,43.96306184553363
36,0.0013027272481093114,0.0006079002208211392,38.71318879371157
37,0.0013306522632434083,0.0006134712953636426,41.62473197370206
38,0.0012946667641552565,0.0009766044094277504,11.563760143645398
39,0.0013023401940272011,0.0006066549476373799,38.8594801630225
40,0.0013095635559052048,0.0006130509655470018,38.809766876627954
41,0.0013547458072430518,0.0006131560750146489,45.17507552493834
42,0.0013171200196720537,0.0006699111470624185,31.933326423213156
43,0.0013521270184170583,0.000601698169888724,46.93802034427872
44,0.0013273114359202336,0.0006739733269478416,32.563933721992235
45,0.0013063610216755837,0.0009764064290068708,12.046273906668288
46,0.001363139398154643,0.0006026613156415195,48.48556173976046
47,0.0012915043798117812,0.0006200122037446151,35.45300872414865
48,0.0013464434795384579,0.0009876932222701695,13.407719108331639
49,0.00133142691169397,0.0006021264248681287,43.71914388534951
50,0.0013385230138716175,0.0006588535075895123,35.782850975996695
51,0.0013134453542216803,0.0009779891501791602,12.292701652556431
52,0.0012719691710506786,0.0009773959300840313,10.659416490541183
53,0.0015625670550844005,0.0006835288132642739,65.41845376811196
56,0.0012941853187384408,0.0006071741218424864,37.698434703384926
57,0.0012828659093853925,0.0009763404266118918,11.10544289338654
58,0.0013264807772141157,0.000613996302986784,40.95470053002756
59,0.001294268497049269,0.0006260528991350792,34.94114838435534
60,0.0013451386236522913,0.0005954361312584828,47.06885003300955
61,0.0013723271413212054,0.0007834251627370083,26.004003650911894
62,0.0013423716660009807,0.0006408049504109665,38.84280230856828
63,0.0013173646329195285,0.0005907818588551276,43.70544102580121
64,0.0013131345843564774,0.0005725593276991442,46.57411688848884
65,0.0013181470902654763,0.0006156733188871972,39.54254741801918
66,0.0013515549719868227,0.0005903453742304462,49.12450666891571
67,0.0013171200196720537,0.0005789925785721683,45.91676010151465
68,0.001334508668270842,0.0005976545650504605,45.00296781473296
69,0.0013300225291604812,0.0009882802613842686,12.670232087557997
70,0.0013062055737345962,0.000608832504232895,39.03025218506508
71,0.0013396930760514623,0.0006063432297367084,44.176762127535376
72,0.0013186847603719346,0.0006156733188871972,39.615019730439606
73,0.0013509354528066038,0.0006862966311893522,33.6933330240654
74,0.0013171200196720537,0.0009766044094277504,12.491870804780651
75,0.0013005970252289425,0.0006071741218424864,38.544298744878766
76,0.0013097227784888863,0.000608832504232895,39.504356840034376
77,0.0013069035406697465,0.000613996302986784,38.309802318027565
78,0.0013124145192759075,0.0006287928251085308,36.79291642848702
79,0.0013271607498295693,0.0006026613156415195,42.99849592411936
80,0.001358261301800123,0.0006253319364390622,43.520001013602545
81,0.0013401163672444036,0.0006183838038119615,42.12562573321925
82,0.0013046607961093638,0.0009769769030334844,11.958633468167134
83,0.0013840219012264206,0.0006089687706052664,50.58240471771882
84,0.0013509354528066038,0.0009769769030334844,13.984489755140507
85,0.0013495352774922518,0.0006079002208211392,45.362187469964766
86,0.0013306522632434083,0.0006260528991350792,39.57287990079854
87,0.0013431695095578995,0.0005855106111776428,48.759023385930725
88,0.001369177279561162,0.0005794376152086461,54.54142852490416
89,0.0013560105870646952,0.0009879455066181312,13.8320088570812
90,0.0013396930760514623,0.0005502205664935264,56.26344846381157
91,0.0013290531248559142,0.0006147305603809274,41.189746816853564
92,0.0013602794511016975,0.0006960525160264106,33.55219305007372
93,0.0013606788557187013,0.0009876932222701695,14.056041044034831
94,0.0013169732299151472,0.0006156733188871972,39.38468140927937
95,0.0013165854148219646,0.0006290934192576943,37.27645959330571
96,0.001353964198677149,0.0006183838038119615,44.11565495044163
97,0.0013354381889969327,0.0005789925785721683,48.85446193631498
99,0.0012733363629745806,0.0010227602487889774,9.566807098618325
102,0.0012973021955500381,0.0009893230263922374,11.29983335686377
103,0.0012991884595434091,0.0009893230263922374,11.373790739013753
104,0.0012982456701236722,0.0009769342876365934,11.698140957238628
105,0.0013602794511016975,0.0009654921996495373,14.855082743724958
106,0.0013053851382375877,0.0009783305483212126,11.94721267130143
107,0.0013060156649782057,0.0009779891501791602,11.983555064036723
108,0.0013142858679130707,0.0006071741218424864,40.399551692205755
109,0.0013158672380962594,0.0009767833719999176,12.432936757679668
110,0.0013264807772141157,0.0009773959300840313,12.86947637702081
111,0.001319310920967436,0.0006079002208211392,40.97561501683819
112,0.0013532658589769445,0.0005950126346677381,48.44502660856548
113,0.001364838410731543,0.0005627255793683793,57.834268791870784
114,0.0013135184576627426,0.0009657532493229977,12.687347588430642
115,0.0013306522632434083,0.0009779891501791602,13.032489172320872
116,0.0013587356710046115,0.0009887366063955397,13.92946682334479
117,0.0013587356710046115,0.0009887366063955397,13.92946682334479
118,0.0013290531248559142,0.0009773959300840313,12.981912387731144
119,0.0013023401940272011,0.000608832504232895,38.51432857319776
120,0.0013506088750673113,0.0005838939197960274,50.328679004899655
121,0.0013152445010586981,0.0009665359753053198,12.736657091951582
122,0.0013022918041784457,0.0009671226040660585,12.164673425312204
123,0.0013247926808585707,0.000608832504232895,41.58663082905641
124,0.0013063610216755837,0.0009766044094277504,12.040194096077474
125,0.0012802815778868647,0.0009889655848523038,10.658834462558337
126,0.001285324999351091,0.0009766044094277504,11.193807252895983
