Frame,Left Contact Angle,Right Contact Angle,Average Contact Angle,Width
3,212.66429329514534,140.83371083081008,176.7490020629777,121.0
4,164.0943009376537,152.20938778469724,158.15184436117548,121.0
5,164.34607720720695,151.59586227236946,157.9709697397882,121.0
6,165.05166197227862,140.83371083081008,152.94268640154434,122.0
7,165.05166197227862,140.83371083081008,152.94268640154434,122.0
8,163.04990286942166,140.83371083081008,151.94180685011588,123.0
9,163.04990286942166,140.83371083081008,151.94180685011588,123.0
10,200.9189936828888,144.48823436954785,172.70361402621833,122.0
11,179.45625018551564,144.48823436954785,161.97224227753173,121.0
12,179.45625018551564,144.48823436954785,161.97224227753173,121.0
13,166.8448317144259,144.08748608558145,155.46615890000368,120.0
14,166.89708133765544,144.08748608558145,155.49228371161843,120.0
15,171.71184604108475,145.38331726781846,158.54758165445162,120.0
16,171.71184604108475,145.38331726781846,158.54758165445162,120.0
17,171.71184604108475,145.38331726781846,158.54758165445162,120.0
18,172.04419347147208,145.38331726781846,158.71375536964527,119.0
19,169.18100854247,145.38331726781846,157.28216290514422,119.0
20,179.47405364003254,141.21873043941818,160.34639203972534,11.0
21,179.35580617135386,141.21873043941818,160.28726830538602,11.0
22,169.28153770040572,140.4517596322263,154.866648666316,120.0
23,168.63754915407233,140.4941763568108,154.56586275544157,120.0
24,168.38946283657842,127.20576225291398,147.7976125447462,119.0
25,145.03604476923977,139.66372069910895,142.34988273417434,116.0
26,146.10232423732768,138.14429591364498,142.12331007548633,115.0
27,145.55285120527998,138.14429591364498,141.84857355946247,115.0
28,146.0981451949517,137.03668722768242,141.56741621131707,115.0
29,168.92200776871223,137.03668722768242,152.97934749819734,115.0
30,176.32898437921634,129.0029937169125,152.66598904806443,12.0
31,176.37614542831685,129.0029937169125,152.6895695726147,12.0
32,176.3704407798771,129.0029937169125,152.6867172483948,12.0
33,176.42446663422533,127.97228090007428,152.1983737671498,12.0
34,175.45485909128607,127.97228090007428,151.7135699956802,12.0
35,183.53909150322767,139.36572530300757,161.4524084031176,12.0
36,185.0025930419996,140.14098530357674,162.57178917278816,12.0
37,165.9751755310105,138.33538920253778,152.15528236677414,115.0
